매출일,영업소,영업담당,기간,전표번호,상품코드,상품명,대분류,중분류,소분류,거래처코드,거래처명,매출수량,매출금액,매출이익,단가
2025-01-01,광주,정민호,31,263298,187605,P뚜껑포함한손튀김냄비16cm,냄비,P뚜껑포함한손튀김냄비,16cm,2016,대구산업,1,47000,7050,47000
2025-01-01,광주,강서연,31,50265,129000,프라이팬커버세트,프라이팬,프라이팬커버세트,,2013,지본산업,21,457800,68670,21800
2025-05-21,광주,정민호,31,170440,950115,N프라이팬26cm,프라이팬,N프라이팬,26cm,2022,전상기획,2,77000,11550,38500
2025-03-04,광주,강서연,31,174399,333847,식재료냄비26cm,냄비,식재료냄비,26cm,2011,가납기획,10,489000,73350,48900
2025-07-24,광주,이영희,31,270973,778897,P프라이팬26cm,프라이팬,P프라이팬,26cm,2001,수원상사,27,1282500,192375,47500
2025-07-24,광주,김태호,31,693954,695958,철계란,기타,철계란,,2008,상마사무소,1,68500,10275,68500
2025-07-24,광주,김민수,31,484518,651031,식재료냄비22cm,냄비,식재료냄비,22cm,2003,밀양서비스,2,85800,12870,42900
2025-05-25,광주,최수진,31,881262,311907,N계란말이中,프라이팬,N계란말이中,,2023,정택상사,5,244500,36675,48900
2025-05-25,광주,이영희,31,992685,376382,N볶음냄비20cm,냄비,N볶음냄비,20cm,2022,전상기획,1,40600,6090,40600
2025-04-12,광주,강서연,31,76579,260996,SP프라이팬26cm,프라이팬,SP프라이팬,26cm,2007,청주식당,1,49800,7470,49800
2025-09-02,광주,최수진,31,398663,584096,PP프라이팬24cm,프라이팬,PP프라이팬,24cm,2017,송야기업,19,547200,82080,28800
2025-01-16,광주,한소영,31,225284,320252,P오일포트1.2L,포트,P오일포트,1.2L,2001,수원상사,56,2492000,373800,44500
2025-01-16,광주,김민수,31,859547,448664,계란말이,프라이팬,계란말이,,2017,송야기업,19,1168500,175275,61500
2025-08-09,광주,이영희,31,906757,413433,P크롬튀김배트,기타,P크롬튀김배트,,2011,가납기획,2,49200,7380,24600
2025-01-03,광주,이영희,31,190086,804555,프라이팬28cm,프라이팬,프라이팬,28cm,2016,대구산업,2,139600,20940,69800
2025-01-03,광주,이영희,31,170176,321161,SP계란말이中,프라이팬,SP계란말이中,,2016,대구산업,1,31300,4695,31300
2025-01-03,광주,최수진,31,34497,321161,SP계란말이中,프라이팬,SP계란말이中,,2009,등정기업,1,31300,4695,31300
2025-08-28,광주,김태호,31,140907,72745,PP프라이팬26cm,프라이팬,PP프라이팬,26cm,2012,산천사무소,9,214200,32130,23800
